token,pos,frequency
の,助詞,98295
に,助詞,73464
は,助詞,65469
て,助詞,62822
を,助詞,59289
た,助動詞,56411
だ,助動詞,47964
が,助詞,44258
と,助詞,36743
する,動詞,31576
も,助詞,24547
で,助詞,20411
の,名詞,16715
ある,助動詞,15201
いる,動詞,15036
ない,助動詞,14072
から,助詞,12697
ます,助動詞,11001
か,助詞,10769
私,名詞,10005
その,連体詞,9236
なる,動詞,8932
ある,動詞,8768
ぬ,助動詞,8697
こと,名詞,8585
へ,助詞,8379
う,助動詞,7643
人,名詞,7483
れる,動詞,7316
もの,名詞,7135
一,名詞,6922
ゐる,動詞,6577
それ,名詞,6471
ない,形容詞,6094
ば,助詞,5949
です,助動詞,5836
この,連体詞,5580
よう,名詞,5451
つて,名詞,5137
二,名詞,4819
見る,動詞,4620
お,接頭詞,4312
十,名詞,4027
事,名詞,3932
や,助詞,3890
来る,動詞,3877
という,助詞,3828
時,名詞,3520
何,名詞,3416
これ,名詞,3335
三,名詞,3272
日,名詞,3170
思う,動詞,2911
つ,助動詞,2861
まで,助詞,2788
行く,動詞,2755
彼,名詞,2741
さ,名詞,2730
よ,助詞,2642
られる,動詞,2636
中,名詞,2636
出る,動詞,2635
年,名詞,2605
ん,名詞,2577
ので,助詞,2541
やう,名詞,2480
ところ,名詞,2467
家,名詞,2427
自分,名詞,2397
ひる,動詞,2378
ん,助動詞,2372
ながら,助詞,2363
者,名詞,2338
など,助詞,2249
居る,動詞,2248
言う,動詞,2175
り,助動詞,2161
僕,名詞,2149
いう,動詞,2146
な,助詞,2098
方,名詞,2087
として,助詞,2065
また,接続詞,2056
上,名詞,2041
せる,動詞,2039
つた,名詞,2038
より,助詞,2015
くる,動詞,2000
たい,助動詞,1972
五,名詞,1933
君,名詞,1933
さん,名詞,1928
的,名詞,1812
ふる,動詞,1773
たち,名詞,1762
ね,助詞,1762
でも,助詞,1694
四,名詞,1674
だけ,助詞,1658
知る,動詞,1650
もう,副詞,1635
といふ,助詞,1621
き,助動詞,1612
あつい,形容詞,1572
前,名詞,1523
ばかり,助詞,1514
みる,動詞,1490
今,名詞,1488
あ,フィラー,1480
