token,pos,frequency
の,助詞,38750
て,助詞,30854
は,助詞,29309
に,助詞,28537
た,助動詞,28346
を,助詞,24204
だ,助動詞,22332
が,助詞,18001
と,助詞,13757
する,動詞,12712
ます,助動詞,10971
も,助詞,10662
で,助詞,8968
の,名詞,7975
いる,動詞,7673
ない,助動詞,7149
私,名詞,6266
から,助詞,6155
です,助動詞,5525
か,助詞,5364
ある,助動詞,5180
なる,動詞,4420
その,連体詞,4098
う,助動詞,3937
ある,動詞,3480
へ,助詞,3363
それ,名詞,3350
人,名詞,2989
よう,名詞,2956
もの,名詞,2901
ぬ,助動詞,2860
れる,動詞,2691
一,名詞,2671
ない,形容詞,2440
来る,動詞,2365
こと,名詞,2289
お,接頭詞,2272
ば,助詞,2142
この,連体詞,2075
見る,動詞,2033
事,名詞,2031
二,名詞,1969
ん,名詞,1956
行く,動詞,1894
ゐる,動詞,1785
思う,動詞,1764
という,助詞,1752
ん,助動詞,1701
十,名詞,1686
よ,助詞,1671
言う,動詞,1611
何,名詞,1578
云う,動詞,1426
ね,助詞,1382
もう,副詞,1361
や,助詞,1339
さん,名詞,1298
たち,名詞,1276
中,名詞,1246
まで,助詞,1238
ながら,助詞,1228
ひる,動詞,1211
僕,名詞,1206
日,名詞,1182
三,名詞,1181
出る,動詞,1161
たい,助動詞,1155
な,助詞,1146
時,名詞,1135
さ,名詞,1131
いい,形容詞,1121
君,名詞,1118
これ,名詞,1113
家,名詞,1019
また,接続詞,997
みんな,名詞,990
だけ,助詞,988
自分,名詞,953
方,名詞,953
やる,動詞,933
しまう,動詞,917
でも,助詞,893
書く,動詞,893
つて,名詞,889
無い,形容詞,872
けれども,助詞,859
顔,名詞,853
ところ,名詞,846
ので,助詞,834
やう,名詞,832
あ,フィラー,824
あなた,名詞,809
居る,動詞,804
られる,動詞,791
ら,名詞,788
たり,助詞,777
つ,助動詞,777
そう,名詞,767
など,助詞,767
せる,動詞,742
いま,名詞,740
そう,副詞,736
上,名詞,724
ばかり,助詞,701
いう,動詞,697
うち,名詞,694
眼,名詞,694
五,名詞,690
より,助詞,687
年,名詞,667
り,助動詞,666
少し,副詞,665
知る,動詞,664
え,フィラー,658
気,名詞,646
みる,動詞,644
者,名詞,641
先生,名詞,641
あの,連体詞,637
どう,副詞,637
として,助詞,636
前,名詞,629
とき,名詞,626
ふる,動詞,622
き,助動詞,621
じゃ,助詞,614
くる,動詞,591
女,名詞,589
出す,動詞,584
ま,フィラー,581
わかる,動詞,576
立つ,動詞,570
持つ,動詞,570
らしい,助動詞,569
云,名詞,567
