token,pos,frequency
の,助詞,7863
に,助詞,6566
は,助詞,5777
を,助詞,5382
て,助詞,5367
た,助動詞,4873
だ,助動詞,4621
が,助詞,4182
と,助詞,3861
する,動詞,3152
も,助詞,2186
ない,助動詞,1821
で,助詞,1715
ある,助動詞,1541
から,助詞,1527
の,名詞,1445
いる,動詞,1295
なる,動詞,1044
ある,動詞,1042
か,助詞,993
もの,名詞,932
ます,助動詞,895
ない,形容詞,859
人,名詞,761
ぬ,助動詞,755
事,名詞,750
ば,助詞,735
う,助動詞,704
云う,動詞,696
へ,助詞,618
です,助動詞,615
私,名詞,614
その,連体詞,600
れる,動詞,556
一,名詞,552
それ,名詞,548
よう,名詞,546
余,名詞,499
見る,動詞,473
この,連体詞,453
思う,動詞,452
という,助詞,433
自分,名詞,395
時,名詞,391
来る,動詞,391
何,名詞,366
方,名詞,351
二,名詞,347
十,名詞,316
ん,助動詞,309
御,接頭詞,303
中,名詞,301
行く,動詞,301
君,名詞,295
まで,助詞,292
上,名詞,291
として,助詞,288
いう,動詞,285
ん,名詞,284
出る,動詞,282
これ,名詞,259
こと,名詞,257
居る,動詞,252
より,助詞,245
家,名詞,234
三,名詞,229
所,名詞,229
彼,名詞,225
ため,名詞,221
僕,名詞,220
たい,助動詞,218
うち,名詞,217
的,名詞,217
先生,名詞,217
書く,動詞,213
だけ,助詞,213
今,名詞,211
者,名詞,205
やる,動詞,204
られる,動詞,197
あなた,名詞,196
日,名詞,190
また,接続詞,186
ので,助詞,186
年,名詞,185
得る,動詞,184
や,助詞,181
など,助詞,180
でも,助詞,180
べし,助動詞,179
けれども,助詞,175
前,名詞,175
出来る,動詞,170
さん,名詞,163
聞く,動詞,162
知る,動詞,155
たり,助動詞,152
そう,副詞,150
とか,助詞,149
気,名詞,146
人間,名詞,144
ところ,名詞,144
つて,名詞,143
よ,助詞,139
間,名詞,138
さ,名詞,137
ながら,助詞,137
見える,動詞,136
知れる,動詞,134
くる,動詞,133
しまう,動詞,133
眼,名詞,133
自然,名詞,132
頭,名詞,132
ばかり,助詞,131
どう,副詞,131
考える,動詞,131
り,助動詞,127
え,フィラー,127
ほど,助詞,127
四,名詞,125
じゃ,助詞,124
ね,助詞,123
五,名詞,123
かも,助詞,122
せる,動詞,122
ただ,接続詞,121
読む,動詞,120
できる,動詞,120
しかし,接続詞,120
出す,動詞,119
なり,助動詞,117
き,助動詞,116
日本,名詞,116
様,名詞,116
男,名詞,116
置く,動詞,114
な,助詞,114
つ,助動詞,112
必要,名詞,109
くれる,動詞,109
心,名詞,109
女,名詞,108
云,名詞,108
文芸,名詞,108
意味,名詞,107
たり,助詞,106
こう,副詞,106
分る,動詞,105
顔,名詞,105
ら,名詞,104
主義,名詞,102
そう,名詞,102
持つ,動詞,101
死ぬ,動詞,100
六,名詞,100
小説,名詞,100
同じ,連体詞,99
今日,名詞,99
手,名詞,98
そうして,接続詞,96
よい,形容詞,96
以上,名詞,95
帰る,動詞,95
文学,名詞,94
ゐる,動詞,94
ここ,名詞,92
話,名詞,92
土,名詞,92
もう,副詞,92
音,名詞,91
ふる,動詞,91
点,名詞,91
じ,助動詞,90
ひる,動詞,89
後,名詞,89
とき,名詞,89
いい,形容詞,89
お,接頭詞,88
てる,動詞,84
訳,名詞,84
立つ,動詞,83
第,接頭詞,83
物,名詞,83
ま,フィラー,83
において,助詞,83
まだ,副詞,83
つく,動詞,83
助,名詞,82
ご,接頭詞,81
こんな,連体詞,81
さえ,助詞,80
どこ,名詞,80
そこ,名詞,79
一つ,名詞,78
言う,動詞,77
全く,副詞,77
少し,副詞,77
昔,名詞,77
声,名詞,77
西洋,名詞,76
百,名詞,76
下,名詞,76
あの,連体詞,76
あ,フィラー,76
妻,名詞,75
色,名詞,75
我,名詞,75
社会,名詞,75
らしい,助動詞,74
取る,動詞,74
又,接続詞,74
通り,名詞,73
事実,名詞,72
われ,名詞,72
職業,名詞,71
誰,名詞,71
作物,名詞,71
丈,名詞,70
七,名詞,69
話す,動詞,69
風,名詞,69
頃,名詞,69
過ぎる,動詞,68
問題,名詞,67
のみ,助詞,66
ごとし,助動詞,66
悪い,形容詞,65
先,名詞,65
世の中,名詞,65
もつ,動詞,65
迄,助詞,65
描く,動詞,64
受ける,動詞,64
答える,動詞,64
よく,副詞,64
なり,助詞,64
まま,名詞,64
始める,動詞,64
手紙,名詞,63
あと,名詞,63
まい,助動詞,63
世間,名詞,63
吾,名詞,63
かかる,動詞,63
そんな,連体詞,63
東京,名詞,62
とも,助詞,62
くらい,助詞,62
母,名詞,62
是,名詞,62
