token,pos,frequency
の,助詞,19082
て,助詞,16024
は,助詞,14571
に,助詞,14443
た,助動詞,13037
だ,助動詞,12662
を,助詞,11661
が,助詞,8086
する,動詞,6559
と,助詞,6539
も,助詞,5648
私,名詞,4903
の,名詞,4652
いる,動詞,4608
で,助詞,4549
ない,助動詞,3859
ます,助動詞,3807
ある,助動詞,3492
から,助詞,2737
です,助動詞,2514
か,助詞,2467
その,連体詞,2132
なる,動詞,2129
う,助動詞,1776
それ,名詞,1747
ぬ,助動詞,1641
れる,動詞,1556
よう,名詞,1527
ある,動詞,1493
お,接頭詞,1492
もの,名詞,1444
人,名詞,1368
こと,名詞,1349
言う,動詞,1305
へ,助詞,1295
事,名詞,1255
一,名詞,1184
この,連体詞,1132
という,助詞,1129
ない,形容詞,1044
思う,動詞,1043
来る,動詞,1012
二,名詞,953
ば,助詞,941
十,名詞,910
たち,名詞,864
ん,名詞,843
さん,名詞,840
僕,名詞,811
無い,形容詞,807
ね,助詞,807
君,名詞,781
よ,助詞,774
ん,助動詞,753
たい,助動詞,744
ゐる,動詞,738
見る,動詞,736
いい,形容詞,719
何,名詞,704
三,名詞,677
家,名詞,642
日,名詞,638
これ,名詞,620
行く,動詞,618
書く,動詞,595
つて,名詞,586
さ,名詞,570
まで,助詞,568
いま,名詞,564
だけ,助詞,557
でも,助詞,545
時,名詞,539
また,接続詞,511
もう,副詞,507
出る,動詞,506
顔,名詞,501
ながら,助詞,499
せる,動詞,496
あなた,名詞,479
られる,動詞,460
など,助詞,453
しまう,動詞,450
けれども,助詞,445
女,名詞,441
そう,名詞,435
みる,動詞,431
や,助詞,430
自分,名詞,426
ところ,名詞,424
ので,助詞,423
ひと,名詞,417
そう,副詞,407
知る,動詞,402
あの,連体詞,399
つ,助動詞,383
気,名詞,382
者,名詞,380
年,名詞,378
な,助詞,373
中,名詞,373
少し,副詞,369
酒,名詞,363
五,名詞,363
わかる,動詞,362
そんな,連体詞,362
ひる,動詞,360
ばかり,助詞,357
じゃ,助詞,352
ほど,助詞,352
り,助動詞,347
やる,動詞,346
笑う,動詞,344
居る,動詞,343
男,名詞,341
小説,名詞,334
よい,形容詞,329
彼,名詞,325
下さる,動詞,320
持つ,動詞,317
らしい,助動詞,314
より,助詞,314
聞く,動詞,310
そうして,接続詞,310
眼,名詞,309
知れる,動詞,301
え,フィラー,296
歩く,動詞,295
ほう,名詞,291
かも,助詞,287
言葉,名詞,283
ひとり,名詞,279
くれる,動詞,276
四,名詞,276
いう,動詞,275
飲む,動詞,264
いける,動詞,264
あ,フィラー,263
読む,動詞,262
言,名詞,262
先生,名詞,260
こんな,連体詞,257
どう,副詞,257
とき,名詞,256
たり,助詞,252
として,助詞,250
くらい,助詞,250
死ぬ,動詞,248
やう,名詞,247
うち,名詞,247
出来る,動詞,245
話,名詞,245
ござる,助動詞,244
できる,動詞,240
さえ,助詞,237
わ,助詞,237
大,接頭詞,231
小さい,形容詞,231
し,助詞,230
誰,名詞,227
御,接頭詞,227
ここ,名詞,220
一つ,名詞,217
声,名詞,217
前,名詞,215
ただ,接続詞,212
すぐ,副詞,211
みんな,名詞,209
子,名詞,209
つく,動詞,209
日本,名詞,208
ため,名詞,204
置く,動詞,204
いや,名詞,203
心,名詞,203
母,名詞,202
しかし,接続詞,201
どこ,名詞,201
東京,名詞,198
立つ,動詞,198
ひどい,形容詞,196
ああ,感動詞,195
夜,名詞,195
悪い,形容詞,192
やはり,副詞,192
き,助動詞,191
帰る,動詞,191
本,名詞,188
在る,動詞,188
氏,名詞,188
作家,名詞,187
部屋,名詞,187
百,名詞,185
思ふ,動詞,183
なさる,動詞,182
見える,動詞,181
或,連体詞,180
大きい,形容詞,179
あれ,名詞,178
生きる,動詞,178
ご,接頭詞,178
考える,動詞,177
気持,名詞,177
六,名詞,177
かける,動詞,175
べし,助動詞,175
なんて,助詞,175
みたい,名詞,174
生活,名詞,174
歳,名詞,173
といふ,助詞,172
わけ,名詞,171
出す,動詞,171
だって,助詞,171
手,名詞,167
度,名詞,166
人間,名詞,166
まま,名詞,163
なん,名詞,162
つた,名詞,160
的,名詞,160
姿,名詞,160
子供,名詞,160
そこ,名詞,159
枚,名詞,158
兄,名詞,158
ま,フィラー,157
泣く,動詞,155
って,助詞,154
手紙,名詞,154
上,名詞,151
口,名詞,151
胸,名詞,150
忘れる,動詞,149
まだ,副詞,148
こそ,助詞,148
あの,フィラー,148
父,名詞,147
頃,名詞,147
音,名詞,146
美しい,形容詞,146
のに,助詞,146
あたし,名詞,146
あと,名詞,144
さ,助詞,144
他,名詞,144
ら,名詞,144
嘘,名詞,143
仕事,名詞,142
あつい,形容詞,141
於く,動詞,141
どうも,副詞,140
間,名詞,138
じ,助動詞,137
はじめる,動詞,137
娘,名詞,136
友人,名詞,135
よく,副詞,134
作品,名詞,133
花,名詞,133
くる,動詞,132
得る,動詞,132
目,名詞,132
思い,名詞,132
とても,副詞,130
あげる,動詞,129
けれど,助詞,129
どんな,連体詞,129
所,名詞,129
八,名詞,128
同じ,連体詞,128
それでも,接続詞,128
たり,助動詞,127
筈,名詞,126
屋,名詞,126
感じる,動詞,125
なんか,助詞,125
つもり,名詞,125
もらう,動詞,125
信じる,動詞,125
つける,動詞,124
様子,名詞,124
円,名詞,124
頭,名詞,124
いや,接続詞,124
七,名詞,121
自身,名詞,120
きょう,名詞,119
やら,助詞,119
こんど,名詞,118
着る,動詞,118
おれ,名詞,118
きっと,副詞,117
お金,名詞,117
はいる,動詞,116
逢う,動詞,116
いつも,副詞,116
就く,動詞,116
ふる,動詞,115
朝,名詞,115
また,副詞,114
まるで,副詞,114
かた,名詞,113
ちる,動詞,113
ちょっと,副詞,113
似る,動詞,113
生れる,動詞,112
はっきり,副詞,111
いつ,名詞,111
とか,助詞,110
まい,助動詞,110
とにかく,副詞,109
若い,形容詞,109
一緒,名詞,108
眺める,動詞,107
答える,動詞,107
今,名詞,106
見せる,動詞,106
文学,名詞,106
とる,動詞,106
身,名詞,105
実に,副詞,105
やっぱり,副詞,105
下,名詞,105
すべて,名詞,104
め,名詞,104
名前,名詞,103
いく,動詞,103
これから,副詞,103
いちど,名詞,102
芸術,名詞,101
このごろ,名詞,101
坐る,動詞,100
好き,名詞,100
こう,副詞,100
店,名詞,100
妹,名詞,100
もっと,副詞,100
がる,動詞,100
たいへん,副詞,100
白い,形容詞,100
山,名詞,100
お前,名詞,99
全部,名詞,99
女中,名詞,99
呼ぶ,動詞,99
弱い,形容詞,98
笑,名詞,98
いよいよ,副詞,98
あまり,副詞,97
第,接頭詞,97
へん,名詞,97
水,名詞,96
少年,名詞,96
もつ,動詞,96
わるい,形容詞,96
雪,名詞,95
呑む,動詞,95
聞える,動詞,95
全く,副詞,95
そんなに,副詞,95
傍,名詞,94
馬鹿,名詞,94
やつ,名詞,94
新聞,名詞,93
様,名詞,92
外,名詞,92
はじめて,副詞,92
意味,名詞,92
なり,助動詞,92
すぎる,動詞,91
待つ,動詞,91
妻,名詞,91
寝る,動詞,91
ばか,名詞,91
お母さん,名詞,90
変る,動詞,90
てる,動詞,89
感じ,名詞,89
そのまま,副詞,89
送る,動詞,89
ふと,副詞,89
窓,名詞,88
ろ,名詞,88
合う,動詞,88
げ,名詞,88
深い,形容詞,87
依る,動詞,87
とも,助詞,87
なんだか,副詞,87
さま,名詞,87
走る,動詞,87
ぞ,助詞,86
如し,助動詞,86
うし,名詞,86
ころ,名詞,85
兄さん,名詞,85
われ,名詞,85
る,助動詞,85
まあ,副詞,85
かえって,副詞,84
困る,動詞,84
語る,動詞,84
たくさん,名詞,83
はじめ,名詞,83
れい,名詞,83
かしら,助詞,82
村,名詞,82
以上,名詞,82
力,名詞,82
高い,形容詞,82
ちっとも,副詞,81
強い,形容詞,81
まえる,動詞,81
お客,名詞,81
なかなか,副詞,81
ちゃん,名詞,81
謂,名詞,81
だめ,名詞,81
文章,名詞,80
名,名詞,80
宿,名詞,80
町,名詞,79
早い,形容詞,79
少女,名詞,79
神,名詞,79
青年,名詞,79
まじめ,名詞,79
決して,副詞,78
かかる,動詞,78
おまえ,名詞,78
無,接頭詞,78
庭,名詞,78
夫,名詞,78
ちがい,名詞,78
雑誌,名詞,78
やがて,副詞,77
夏,名詞,77
次,名詞,77
ひとつ,名詞,77
色,名詞,77
方,名詞,77
く,動詞,77
夢,名詞,77
教える,動詞,76
世界,名詞,76
ばん,名詞,76
苦しい,形容詞,76
女房,名詞,76
受ける,動詞,75
食べる,動詞,75
にて,助詞,75
相手,名詞,75
ずいぶん,副詞,75
致す,動詞,75
大事,名詞,75
昔,名詞,75
こ,名詞,75
思い出す,動詞,75
長兄,名詞,74
足,名詞,74
後,名詞,74
どうして,副詞,74
まち,名詞,73
まず,副詞,73
世の中,名詞,72
ほとんど,副詞,72
九,名詞,72
どんなに,副詞,72
行,名詞,72
いただく,動詞,71
千,名詞,71
口調,名詞,71
つづける,動詞,71
着物,名詞,71
學,名詞,70
たいてい,副詞,70
きり,名詞,70
なあ,助詞,70
酔う,動詞,70
煙草,名詞,70
涙,名詞,70
駅,名詞,70
實,名詞,69
黙る,動詞,69
画,名詞,69
読者,名詞,69
こんなに,副詞,69
あたり,名詞,69
風,名詞,69
買う,動詞,69
立派,名詞,69
連れる,動詞,69
ちゃんと,副詞,69
故郷,名詞,68
皆,名詞,68
なり,助詞,68
不思議,名詞,68
さすが,副詞,67
時代,名詞,67
ことし,名詞,67
集,名詞,67
底,名詞,67
多い,形容詞,67
起る,動詞,67
打つ,動詞,66
なんと,副詞,66
捨てる,動詞,66
叫ぶ,動詞,66
について,助詞,66
ぢ,名詞,66
切る,動詞,66
毎日,名詞,66
なぜ,副詞,66
必ず,副詞,65
時間,名詞,65
肩,名詞,65
雨,名詞,65
家内,名詞,65
すこし,副詞,65
長い,形容詞,65
面白い,形容詞,65
乗る,動詞,65
田舎,名詞,65
うまい,形容詞,65
合,名詞,64
学校,名詞,64
いたす,動詞,64
ほんとう,名詞,64
太宰,名詞,64
女の子,名詞,63
甲府,名詞,63
耳,名詞,63
最も,副詞,63
主人,名詞,63
犬,名詞,63
金,名詞,63
たのむ,動詞,63
しか,助詞,63
場,名詞,62
言える,動詞,62
いれる,動詞,62
おる,動詞,62
問題,名詞,62
愛す,動詞,62
けれども,接続詞,62
海,名詞,62
原稿,名詞,62
覚える,動詞,62
からだ,名詞,62
昭和,名詞,62
おっしゃる,動詞,61
映画,名詞,61
呉れる,動詞,61
しかも,接続詞,61
かく,動詞,61
讀む,動詞,61
遊び,名詞,61
なつ,名詞,61
けど,助詞,61
奥さん,名詞,61
國,名詞,60
今夜,名詞,60
ぼる,動詞,60
思想,名詞,60
あんな,連体詞,60
学生,名詞,60
わが,連体詞,60
隅,名詞,60
ずつ,助詞,60
たけ,名詞,60
降りる,動詞,60
恥ずかしい,形容詞,60
う,感動詞,60
かえる,動詞,60
客,名詞,60
ほか,名詞,60
等,名詞,59
ちゃ,助詞,59
給,名詞,59
ちがう,動詞,59
自信,名詞,59
赤い,形容詞,59
むかし,名詞,59
借りる,動詞,58
井伏,名詞,58
住む,動詞,58
秋,名詞,58
佐野,名詞,58
女性,名詞,57
弟,名詞,57
しばらく,副詞,57
眠る,動詞,57
こっそり,副詞,57
ふたり,名詞,57
下手,名詞,57
悲しい,形容詞,57
静か,名詞,57
見つける,動詞,57
旅行,名詞,56
申す,動詞,56
失敗,名詞,56
つき,名詞,56
大いに,副詞,56
だの,助詞,56
挨拶,名詞,56
同,接頭詞,56
奥さま,名詞,56
努力,名詞,55
わたくし,名詞,55
之,名詞,55
恥,名詞,55
多少,副詞,55
無い,助動詞,55
微笑,名詞,55
作者,名詞,55
寒い,形容詞,54
経つ,動詞,54
醜い,形容詞,54
いふ,動詞,54
おのれ,名詞,54
いろいろ,副詞,54
玄関,名詞,54
駄目,名詞,54
ちかい,形容詞,54
やす,助動詞,54
落ちつく,動詞,54
勉強,名詞,54
振る,動詞,54
数,名詞,54
なに,名詞,54
いいえ,感動詞,53
作る,動詞,53
落ちる,動詞,53
逃げる,動詞,53
首,名詞,53
負ける,動詞,53
あがる,動詞,53
せい,名詞,53
つまらない,形容詞,53
あるいは,接続詞,53
ひそか,名詞,53
違う,動詞,53
そっと,副詞,53
やって来る,動詞,53
妙,名詞,53
ごと,名詞,53
あける,動詞,53
物語,名詞,53
書ける,動詞,53
愛,名詞,52
離れる,動詞,52
つと,副詞,52
軽蔑,名詞,52
さらに,副詞,52
はず,名詞,52
畳,名詞,52
もと,名詞,52
ひく,動詞,52
書,名詞,52
ほる,動詞,52
ぼんやり,副詞,52
殺す,動詞,52
降る,動詞,51
結婚,名詞,51
取る,動詞,51
附く,動詞,51
とうとう,副詞,51
平気,名詞,51
ぜ,助詞,51
一ぱい,名詞,51
軽い,形容詞,51
いったい,副詞,51
あまり,名詞,51
遠い,形容詞,51
にとって,助詞,51
幸福,名詞,51
写真,名詞,51
小,接頭詞,51
生徒,名詞,51
階,名詞,51
世,名詞,51
暗い,形容詞,51
態度,名詞,51
綺麗,名詞,50
頬,名詞,50
形,名詞,50
字,名詞,50
老,接頭詞,50
二つ,名詞,50
ポチ,名詞,50
奴,名詞,50
け,助詞,50
物,名詞,50
うれしい,形容詞,50
過ぎる,動詞,50
向う,動詞,49
冗談,名詞,49
それでは,接続詞,49
かれる,動詞,49
道,名詞,49
場合,名詞,49
判る,動詞,49
おく,動詞,49
机,名詞,49
飛ぶ,動詞,49
残る,動詞,49
テツ,名詞,49
国,名詞,49
鼻,名詞,49
主義,名詞,48
現実,名詞,48
売る,動詞,48
与える,動詞,48
家庭,名詞,48
必要,名詞,48
努める,動詞,48
そろそろ,副詞,48
どの,連体詞,48
竹,名詞,48
つつ,助詞,48
きく,動詞,47
しん,名詞,47
ひらく,動詞,47
振り,名詞,47
笠井,名詞,47
出かける,動詞,47
新しい,形容詞,47
すむ,動詞,47
ちゃう,動詞,47
のみ,助詞,47
低い,形容詞,47
おかみ,名詞,47
ひとり,副詞,47
晩,名詞,47
なか,名詞,47
心配,名詞,47
ただ,名詞,46
雀,名詞,46
之,助詞,46
はい,感動詞,46
火,名詞,46
ゆえ,名詞,46
歌,名詞,46
約束,名詞,46
本当に,副詞,46
ん,助詞,46
たしかに,副詞,46
なくなる,動詞,46
わし,名詞,46
怒る,動詞,46
節子,名詞,46
急,名詞,46
もし,副詞,46
たった,副詞,46
違い,名詞,46
先日,名詞,46
最後,名詞,46
正直,名詞,45
魚,名詞,45
はく,動詞,45
出版,名詞,45
分,名詞,45
それから,接続詞,45
へる,動詞,45
傑作,名詞,45
鶴,名詞,45
候,名詞,45
万,名詞,45
愛情,名詞,45
はじまる,動詞,45
