token,pos,frequency
の,助詞,11805
た,助動詞,10436
て,助詞,9463
は,助詞,8961
に,助詞,7528
を,助詞,7161
ます,助動詞,6269
が,助詞,5733
だ,助動詞,5049
と,助詞,3357
する,動詞,3001
も,助詞,2828
で,助詞,2704
です,助動詞,2396
か,助詞,1904
から,助詞,1891
の,名詞,1878
いる,動詞,1770
ない,助動詞,1469
う,助動詞,1457
へ,助詞,1450
その,連体詞,1366
なる,動詞,1247
それ,名詞,1055
行く,動詞,975
来る,動詞,962
ゐる,動詞,953
ある,動詞,945
一,名詞,935
よう,名詞,883
人,名詞,860
ん,名詞,829
見る,動詞,824
ひる,動詞,762
もう,副詞,762
よ,助詞,758
みんな,名詞,753
私,名詞,749
や,助詞,728
云う,動詞,696
お,接頭詞,692
こと,名詞,683
二,名詞,669
な,助詞,659
ん,助動詞,639
ながら,助詞,592
れる,動詞,579
中,名詞,572
やう,名詞,540
ら,名詞,540
ない,形容詞,537
もの,名詞,525
方,名詞,525
何,名詞,508
この,連体詞,490
あ,フィラー,485
ば,助詞,466
ぬ,助動詞,464
十,名詞,460
ね,助詞,452
云,名詞,436
そして,接続詞,434
さ,名詞,424
たり,助詞,419
ふる,動詞,416
たち,名詞,402
やる,動詞,383
まで,助詞,378
出る,動詞,373
日,名詞,354
木,名詞,352
ま,フィラー,341
しまう,動詞,334
くる,動詞,326
ぞ,助詞,325
水,名詞,318
き,助動詞,314
いい,形容詞,313
風,名詞,308
また,接続詞,300
さん,名詞,295
出す,動詞,294
そこ,名詞,293
立つ,動詞,289
まるで,副詞,286
つ,助動詞,282
上,名詞,282
とき,名詞,281
ところ,名詞,278
三,名詞,275
大,接頭詞,274
思う,動詞,269
ぢ,名詞,253
眼,名詞,252
見える,動詞,250
どう,副詞,249
青い,形容詞,249
顔,名詞,247
おれ,名詞,245
声,名詞,242
空,名詞,241
けれども,助詞,239
前,名詞,239
ご,接頭詞,236
え,フィラー,235
これ,名詞,234
白い,形容詞,231
そう,名詞,230
うち,名詞,230
言う,動詞,229
雲,名詞,228
そら,感動詞,227
さ,助詞,227
てる,動詞,225
ので,助詞,225
つく,動詞,225
手,名詞,224
とる,動詞,221
少し,副詞,219
大きな,連体詞,218
だけ,助詞,218
ぼく,名詞,217
叫ぶ,動詞,214
ばかり,助詞,213
居る,動詞,209
すっかり,副詞,209
向,接頭詞,206
さま,名詞,205
時,名詞,205
雪,名詞,205
五,名詞,204
じ,助動詞,201
小さな,連体詞,201
ねずみ,名詞,200
音,名詞,200
どこ,名詞,198
く,動詞,195
ろ,名詞,194
山,名詞,194
たい,助動詞,193
り,助動詞,192
わかる,動詞,191
すぐ,副詞,191
め,名詞,190
という,助詞,190
草,名詞,187
狐,名詞,185
赤い,形容詞,185
黒い,形容詞,183
次,名詞,183
らしい,助動詞,181
本,名詞,181
なか,名詞,180
子供,名詞,180
そう,副詞,179
かける,動詞,178
あんまり,副詞,177
僕,名詞,175
すると,接続詞,174
いま,名詞,172
まだ,副詞,168
誰,名詞,168
でも,助詞,168
光る,動詞,167
できる,動詞,165
ちる,動詞,165
先生,名詞,164
べ,助詞,163
四,名詞,163
帰る,動詞,163
みる,動詞,162
あの,連体詞,162
つて,名詞,160
高い,形容詞,160
こ,名詞,160
頭,名詞,160
石,名詞,159
お前,名詞,158
早い,形容詞,158
ほる,動詞,157
一つ,名詞,152
わ,助詞,152
六,名詞,152
赤,名詞,152
持つ,動詞,152
野原,名詞,151
ここ,名詞,151
あと,名詞,151
あげる,動詞,151
林,名詞,151
火,名詞,151
入る,動詞,148
し,助詞,147
ある,助動詞,147
へん,名詞,145
こっち,名詞,144
下,名詞,144
走る,動詞,143
家,名詞,143
ども,名詞,141
森,名詞,140
どうも,副詞,139
じゃ,助詞,138
郎,名詞,138
今日,名詞,137
いう,動詞,137
笑う,動詞,136
光,名詞,135
など,助詞,134
あなた,名詞,134
られる,動詞,134
よく,副詞,133
自分,名詞,132
鳥,名詞,132
口,名詞,132
月,名詞,131
足,名詞,130
やっぱり,副詞,130
もん,名詞,130
より,助詞,128
わたくし,名詞,127
よい,形容詞,127
さあ,感動詞,126
目,名詞,126
やつ,名詞,126
虔,名詞,126
飛ぶ,動詞,125
といふ,助詞,125
立派,名詞,125
間,名詞,125
せる,動詞,124
さっき,名詞,121
百,名詞,121
俄,名詞,121
だんだん,副詞,120
鳴る,動詞,119
向う,名詞,119
気,名詞,118
こんな,連体詞,118
花,名詞,118
雨,名詞,118
又,副詞,117
のぼる,動詞,117
しばらく,副詞,117
ござる,助動詞,117
うし,名詞,117
また,副詞,117
う,感動詞,117
今,名詞,116
って,助詞,116
烏,名詞,116
もつ,動詞,115
又,接続詞,115
落ちる,動詞,114
夜,名詞,114
だまる,動詞,113
外,名詞,113
思ふ,動詞,113
霧,名詞,113
いく,動詞,112
そんな,連体詞,112
つける,動詞,111
泣く,動詞,111
こう,副詞,111
歩く,動詞,110
われ,名詞,110
ひどい,形容詞,109
第,接頭詞,108
お父さん,名詞,108
大きい,形容詞,108
知る,動詞,107
いきなり,副詞,107
ああ,感動詞,105
ほんとう,名詞,105
け,助詞,104
年,名詞,104
ちょっと,副詞,104
ため,名詞,102
変,名詞,99
おく,動詞,99
着る,動詞,99
として,助詞,98
入れる,動詞,98
たくさん,名詞,98
わらう,動詞,98
川,名詞,98
しまふ,動詞,97
ぺん,名詞,97
わたし,名詞,97
悪い,形容詞,96
土,名詞,96
神,名詞,95
置く,動詞,95
慶,名詞,95
象,名詞,95
星,名詞,95
室,名詞,94
仕方,名詞,94
青,名詞,94
ど,助詞,94
かかる,動詞,93
息,名詞,92
みち,名詞,92
いっしょ,名詞,92
山男,名詞,91
きっと,副詞,91
たり,助動詞,90
九,名詞,90
栗,名詞,89
町,名詞,89
枝,名詞,89
げ,名詞,89
へる,動詞,89
葉,名詞,89
おる,動詞,88
横,名詞,88
たつ,動詞,87
明るい,形容詞,87
黄金,名詞,87
ひとり,名詞,86
窓,名詞,86
うに,名詞,86
馬,名詞,86
死ぬ,動詞,85
やって来る,動詞,85
書く,動詞,85
処,名詞,85
あの,フィラー,85
こども,名詞,84
はじめる,動詞,84
ぶん,名詞,83
まっ,接頭詞,83
とこ,名詞,83
急ぐ,動詞,82
楢,名詞,82
底,名詞,82
くれる,動詞,82
丘,名詞,82
